time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2012-12-31T23:11:12.800Z,-17.828,-69.771,121.6,4.3,mb,35,96.1,,1.4,pde,pde20121231231112800_121,2013-03-16T00:09:51.903Z,"Tarapaca, Chile",earthquake
2012-12-31T23:06:27.510Z,-15.074,-173.34,35,4.3,mb,42,123.9,,0.92,pde,pde20121231230627510_35,2013-03-16T00:09:51.896Z,"Tonga",earthquake
2012-12-31T21:37:37.290Z,-6.892,154.593,68.2,4.6,mb,45,64.1,,1.25,pde,pde20121231213737290_68,2013-03-16T00:09:51.880Z,"Bougainville region, Papua New Guinea",earthquake
2012-12-31T21:08:55.130Z,51.234,-179.013,26.1,3.4,ml,25,197.5,,,pde,pde20121231210855130_26,2013-03-16T00:09:51.851Z,"Andreanof Islands, Aleutian Islands, Alaska",earthquake
2012-12-31T21:00:40.960Z,37.637,-122.496,8.7,2.1,md,5,252.9,,,pde,pde20121231210040960_8,2014-04-09T11:21:08.635Z,"offshore Northern California",earthquake
2012-12-31T20:02:04.160Z,-61.623,154.301,10,5.2,mb,65,72,,1.05,pde,pde20121231200204160_10,2014-09-04T17:18:55.000Z,"Balleny Islands region",earthquake
2012-12-31T19:38:58.930Z,19.626,-65.425,30.6,3.2,md,10,268,,,pde,pde20121231193858930_30,2014-04-09T12:27:30.302Z,"Puerto Rico region",earthquake
2012-12-31T19:06:13.470Z,4.857,95.024,67.3,4.5,mb,57,136.2,,0.83,pde,pde20121231190613470_67,2013-03-16T00:09:51.782Z,"northern Sumatra, Indonesia",earthquake
2012-12-31T18:12:05.480Z,53.778,-164.864,51.2,2.7,ml,17,234.9,,,pde,pde20121231181205480_51,2013-03-16T00:09:51.778Z,"Unimak Island region, Alaska",earthquake
2012-12-31T17:47:22.840Z,13.564,-91.797,26.8,4.4,mb,44,117,,1.31,pde,pde20121231174722840_26,2013-03-16T00:09:51.748Z,"offshore Guatemala",earthquake
2012-12-31T17:43:11.720Z,37.705,143.8,24.3,4.8,mb,22,157.6,,0.88,pde,pde20121231174311720_24,2013-03-16T00:09:51.746Z,"off the east coast of Honshu, Japan",earthquake
2012-12-31T17:41:47.100Z,52.727,-169.597,4.8,3.5,ml,11,352.4,,,pde,pde20121231174147100_4,2013-03-16T00:09:51.743Z,"Fox Islands, Aleutian Islands, Alaska",earthquake
2012-12-31T17:23:58.930Z,52.816,-169.325,1.5,3.4,ml,13,351.9,,,pde,pde20121231172358930_1,2013-03-16T00:09:51.703Z,"Fox Islands, Aleutian Islands, Alaska",earthquake
2012-12-31T16:59:29.320Z,-30.318,-177.102,6.7,4.7,mb,26,133.8,,1.03,pde,pde20121231165929320_6,2013-03-16T00:09:51.697Z,"Kermadec Islands, New Zealand",earthquake
2012-12-31T16:46:48.030Z,50.819,178.072,23.5,2.5,ml,8,303.4,,,pde,pde20121231164648030_23,2013-03-16T00:09:51.695Z,"Rat Islands, Aleutian Islands, Alaska",earthquake
2012-12-31T15:33:50.670Z,13.836,-92.133,51.1,4.5,mb,79,117.4,,1.13,pde,pde20121231153350670_51,2013-03-16T00:09:51.684Z,"offshore Guatemala",earthquake
2012-12-31T15:27:26.900Z,58.657,-155.058,143.5,2.7,ml,31,127.8,,,pde,pde20121231152726900_143,2013-03-16T00:09:51.680Z,"Alaska Peninsula",earthquake
2012-12-31T15:11:59.400Z,52.855,171.491,47.5,4.5,mb,59,120.8,,1.04,pde,pde20121231151159400_47,2013-03-16T00:09:51.675Z,"Near Islands, Aleutian Islands, Alaska",earthquake
2012-12-31T15:03:10.850Z,62.107,-145.432,7.3,2.8,ml,62,32.9,,,pde,pde20121231150310850_7,2013-03-16T00:09:51.669Z,"Central Alaska",earthquake
2012-12-31T15:00:05.500Z,16.026,-98.337,4.8,4,mb,17,187,,,pde,pde20121231150005500_4,2013-03-16T00:09:51.665Z,"offshore Oaxaca, Mexico",earthquake
2012-12-31T14:35:01.010Z,14.124,-92.271,42.1,4.3,mb,24,200.9,,1.13,pde,pde20121231143501010_42,2013-03-16T00:09:51.660Z,"offshore Guatemala",earthquake
2012-12-31T14:21:25.950Z,14.052,-92.087,62.3,4.5,mb,35,122.6,,1.11,pde,pde20121231142125950_62,2013-03-16T00:09:51.656Z,"offshore Guatemala",earthquake
2012-12-31T14:15:23.470Z,-7.712,128.422,81.1,4.7,mb,57,37.2,,1.07,pde,pde20121231141523470_81,2013-03-16T00:09:51.649Z,"Kepulauan Barat Daya, Indonesia",earthquake
2012-12-31T12:51:13.810Z,-55.185,-30.418,10,4.5,mb,29,115.6,,1.09,pde,pde20121231125113810_10,2013-03-16T00:09:51.645Z,"South Sandwich Islands region",earthquake
2012-12-31T12:10:29.830Z,-55.181,-30.492,35,4.6,mb,16,120.2,,0.53,pde,pde20121231121029830_35,2013-03-16T00:09:51.618Z,"South Sandwich Islands region",earthquake
2012-12-31T12:10:26.220Z,-55.17,-30.444,10,4.6,mb,16,120.2,,0.4,pde,pde20121231121026220_10,2013-02-22T23:30:10.269Z,"South Sandwich Islands region",earthquake
2012-12-31T11:57:52.420Z,63.566,-149.548,109.6,2.5,ml,51,25,,,pde,pde20121231115752420_109,2014-04-08T18:47:04.661Z,"Central Alaska",earthquake
2012-12-31T11:38:27.380Z,61.577,-141.057,17.8,4.1,mwr,144,21.5,,,pde,pde20121231113827380_17,2013-03-16T00:09:51.591Z,"Southern Alaska",earthquake
