year,month,magValue,magCount,humanValue,humanCount,moneyValue,moneyCount
2010,0,5,63,0,40,0,31
2010,0,5.5,22,1,18,1,22
2010,0,6,1,10,21,2,26
2010,0,6.5,3,100,10,3,10
2010,0,7,1,1000,1,4,1
2010,0,7.5,0,10000,0,5,0
2010,1,5,38,0,24,0,25
2010,1,5.5,12,1,11,1,10
2010,1,6,4,10,11,2,14
2010,1,6.5,1,100,9,3,6
2010,1,7,1,1000,1,4,1
2010,1,7.5,0,10000,0,5,0
2010,2,5,30,0,19,0,14
2010,2,5.5,8,1,11,1,8
2010,2,6,5,10,8,2,15
2010,2,6.5,2,100,7,3,7
2010,2,7,0,1000,0,4,1
2010,2,7.5,0,10000,0,5,0
2010,3,5,16,0,15,0,11
2010,3,5.5,4,1,3,1,5
2010,3,6,2,10,5,2,8
2010,3,6.5,3,100,1,3,1
2010,3,7,1,1000,1,4,1
2010,3,7.5,0,10000,1,5,0
2010,4,5,14,0,9,0,9
2010,4,5.5,2,1,3,1,3
2010,4,6,1,10,4,2,4
2010,4,6.5,2,100,3,3,1
2010,4,7,0,1000,0,4,2
2010,4,7.5,0,10000,0,5,0
2010,5,5,15,0,9,0,7
2010,5,5.5,0,1,1,1,4
2010,5,6,0,10,2,2,2
2010,5,6.5,0,100,3,3,2
2010,5,7,0,1000,0,4,0
2010,5,7.5,0,10000,0,5,0
2010,6,5,15,0,8,0,9
2010,6,5.5,2,1,3,1,4
2010,6,6,1,10,5,2,3
2010,6,6.5,1,100,3,3,3
2010,6,7,0,1000,0,4,0
2010,6,7.5,0,10000,0,5,0
2010,7,5,15,0,9,0,11
2010,7,5.5,2,1,3,1,2
2010,7,6,1,10,2,2,5
2010,7,6.5,0,100,4,3,0
2010,7,7,0,1000,0,4,0
2010,7,7.5,0,10000,0,5,0
2010,8,5,12,0,7,0,9
2010,8,5.5,3,1,2,1,3
2010,8,6,1,10,3,2,1
2010,8,6.5,0,100,4,3,2
2010,8,7,0,1000,0,4,1
2010,8,7.5,0,10000,0,5,0
2010,9,5,7,0,3,0,5
2010,9,5.5,1,1,3,1,0
2010,9,6,0,10,1,2,1
2010,9,6.5,0,100,1,3,2
2010,9,7,0,1000,0,4,0
2010,9,7.5,0,10000,0,5,0
2010,10,5,10,0,6,0,7
2010,10,5.5,2,1,1,1,2
2010,10,6,0,10,2,2,2
2010,10,6.5,0,100,3,3,1
2010,10,7,0,1000,0,4,0
2010,10,7.5,0,10000,0,5,0
2010,11,5,10,0,5,0,2
2010,11,5.5,0,1,4,1,1
2010,11,6,0,10,2,2,3
2010,11,6.5,1,100,1,3,5
2010,11,7,1,1000,0,4,1
2010,11,7.5,0,10000,0,5,0
2011,0,5,7,0,3,0,2
2011,0,5.5,0,1,3,1,2
2011,0,6,0,10,1,2,2
2011,0,6.5,0,100,1,3,2
2011,0,7,1,1000,0,4,0
2011,0,7.5,0,10000,0,5,0
2011,1,5,1,0,1,0,0
2011,1,5.5,1,1,2,1,1
2011,1,6,1,10,1,2,0
