time,latitude,longitude,depth,mag,place,humans,humanRange,money,moneyRange
2010-01-01 02:08:21,26.29,99.866,10.0,5.0,"Yunnan, China",0,"None",2,"more than $1.000.000"
2010-01-01 02:22:23,30.646,83.791,10.0,5.2,"western Xizang",1,"1-10 people",0,"less than $100K"
2010-01-01 02:34:56,40.726,51.925,46.1,5.0,"Caspian Sea, offshore Turkmenistan",0,"None",0,"less than $100K"
2010-01-01 09:37:11,42.36,-30.462,10.0,5.0,"Azores Islands region",0,"None",0,"less than $100K"
2010-01-01 14:31:10,-22.874,69.345,10.0,5.2,"Mid-Indian Ridge",1,"1-10 people",3,"more than $100.000.000"
2010-01-01 17:42:03,1.438,67.763,10.0,5.0,"Carlsberg Ridge",1,"1-10 people",0,"less than $100K"
2010-01-02 00:10:11,-19.987,-175.407,157.2,5.0,"Tonga",2,"10-100 people",0,"less than $100K"
2010-01-02 02:15:12,38.245,71.467,47.0,5.4,"Tajikistan",0,"None",3,"more than $100.000.000"
2010-01-02 05:20:50,12.397,142.16,10.0,5.1,"Mariana Islands region",0,"None",0,"less than $100K"
2010-01-03 04:11:39,-5.297,145.859,34.0,5.8,"eastern New Guinea region, Papua New Guinea",1,"1-10 people",0,"less than $100K"
2010-01-03 09:10:37,-13.881,167.231,190.7,5.1,"Vanuatu",0,"None",0,"less than $100K"
2010-01-03 14:13:53,-1.858,138.98,9.9,5.3,"near the north coast of Papua, Indonesia",0,"None",0,"less than $100K"
2010-01-03 15:13:48,-12.883,166.145,10.0,5.2,"Santa Cruz Islands",0,"None",0,"less than $100K"
2010-01-03 20:39:12,-8.802,-77.718,116.8,5.7,"central Peru",0,"None",0,"less than $100K"
2010-01-03 21:38:41,6.426,126.293,60.3,5.2,"Mindanao, Philippines",2,"10-100 people",1,"more than $100.000"
2010-01-03 21:48:02,-8.726,157.487,10.0,6.6,"Solomon Islands",0,"None",2,"more than $1.000.000"
2010-01-04 10:04:41,-20.959,-178.977,620.1,5.4,"Fiji region",1,"1-10 people",3,"more than $100.000.000"
2010-01-04 14:29:42,18.48,-107.038,10.0,5.0,"off the coast of Jalisco, Mexico",2,"10-100 people",0,"less than $100K"
2010-01-05 01:34:25,-16.481,-74.034,28.0,5.1,"near the coast of southern Peru",1,"1-10 people",2,"more than $1.000.000"
2010-01-05 04:55:39,-58.173,-14.695,13.0,6.8,"east of the South Sandwich Islands",0,"None",2,"more than $1.000.000"
2010-01-05 05:36:21,14.019,-91.878,47.6,5.0,"offshore Guatemala",2,"10-100 people",1,"more than $100.000"
2010-01-05 14:36:26,-2.439,121.309,38.2,5.0,"Sulawesi, Indonesia",3,"100-1000 people",1,"more than $100.000"
2010-01-06 09:48:46,-49.789,164.192,10.0,5.7,"Auckland Islands, New Zealand region",2,"10-100 people",0,"less than $100K"
2010-01-06 16:38:35,-41.605,-16.568,10.0,5.6,"southern Mid-Atlantic Ridge",0,"None",1,"more than $100.000"
2010-01-06 17:27:55,-4.405,151.746,199.6,5.6,"New Britain region, Papua New Guinea",0,"None",0,"less than $100K"
2010-01-07 02:24:25,-21.392,171.341,35.3,5.1,"southeast of the Loyalty Islands",0,"None",1,"more than $100.000"
2010-01-07 08:29:06,-53.516,159.28,10.0,5.6,"Macquarie Island region",3,"100-1000 people",1,"more than $100.000"
2010-01-10 00:25:04,-7.907,107.879,65.2,5.1,"Java, Indonesia",1,"1-10 people",0,"less than $100K"
2010-01-10 00:27:39,40.652,-124.692,29.3,6.5,"offshore Northern California",1,"1-10 people",2,"more than $1.000.000"
2010-01-10 18:06:19,-56.879,-144.471,10.0,5.0,"Pacific-Antarctic Ridge",2,"10-100 people",1,"more than $100.000"
2010-01-11 23:30:44,15.437,-88.761,10.0,5.1,"Guatemala",0,"None",3,"more than $100.000.000"
2010-01-12 10:58:14,-5.417,133.731,35.0,5.5,"Kepulauan Kai, Indonesia",0,"None",0,"less than $100K"
2010-01-12 21:53:10,18.443,-72.571,13.0,7.0,"Haiti region",2,"10-100 people",3,"more than $100.000.000"
2010-01-14 08:42:08,-41.954,-83.873,10.0,5.0,"West Chile Rise",0,"None",0,"less than $100K"
2010-01-14 14:03:41,11.51,142.082,37.0,5.8,"south of the Mariana Islands",2,"10-100 people",2,"more than $1.000.000"
2010-01-14 18:46:25,42.338,142.991,60.1,5.0,"Hokkaido, Japan region",0,"None",2,"more than $1.000.000"
2010-01-15 10:14:02,-31.728,-177.612,10.0,5.9,"Kermadec Islands region",3,"100-1000 people",2,"more than $1.000.000"
2010-01-15 11:08:38,26.746,126.285,139.1,5.7,"Ryukyu Islands, Japan",1,"1-10 people",2,"more than $1.000.000"
2010-01-15 15:44:47,43.551,146.717,35.0,5.2,"Kuril Islands",0,"None",3,"more than $100.000.000"
2010-01-15 18:00:46,10.454,-63.475,8.1,5.6,"Sucre, Venezuela",1,"1-10 people",0,"less than $100K"
2010-01-16 20:08:16,51.711,177.706,50.0,5.5,"Rat Islands, Aleutian Islands, Alaska",1,"1-10 people",1,"more than $100.000"
2010-01-16 20:23:37,32.45,48.3,5.0,5.0,"western Iran",2,"10-100 people",0,"less than $100K"
2010-01-17 06:04:36,37.938,143.599,7.0,5.6,"off the east coast of Honshu, Japan",0,"None",0,"less than $100K"
2010-01-17 12:00:01,-57.664,-65.879,5.0,6.3,"Drake Passage",2,"10-100 people",2,"more than $1.000.000"
2010-01-17 23:19:52,55.291,165.242,50.2,5.0,"Komandorskiye Ostrova, Russia region",0,"None",1,"more than $100.000"
