year,month,key,count
2010,0,5,63
2010,0,5.5,22
2010,0,6,1
2010,0,6.5,3
2010,0,7,1
2010,0,7.5,0
2010,1,5,38
2010,1,5.5,12
2010,1,6,4
2010,1,6.5,1
2010,1,7,1
2010,1,7.5,0
2010,2,5,30
2010,2,5.5,8
2010,2,6,5
2010,2,6.5,2
2010,2,7,0
2010,2,7.5,0
2010,3,5,16
2010,3,5.5,4
2010,3,6,2
2010,3,6.5,3
2010,3,7,1
2010,3,7.5,0
2010,4,5,14
2010,4,5.5,2
2010,4,6,1
2010,4,6.5,2
2010,4,7,0
2010,4,7.5,0
2010,5,5,15
2010,5,5.5,0
2010,5,6,0
2010,5,6.5,0
2010,5,7,0
2010,5,7.5,0
2010,6,5,15
2010,6,5.5,2
2010,6,6,1
2010,6,6.5,1
2010,6,7,0
2010,6,7.5,0
2010,7,5,15
2010,7,5.5,2
2010,7,6,1
2010,7,6.5,0
2010,7,7,0
2010,7,7.5,0
2010,8,5,12
2010,8,5.5,3
2010,8,6,1
2010,8,6.5,0
2010,8,7,0
2010,8,7.5,0
2010,9,5,7
2010,9,5.5,1
2010,9,6,0
2010,9,6.5,0
2010,9,7,0
2010,9,7.5,0
2010,10,5,10
2010,10,5.5,2
2010,10,6,0
2010,10,6.5,0
2010,10,7,0
2010,10,7.5,0
2010,11,5,10
2010,11,5.5,0
2010,11,6,0
2010,11,6.5,1
2010,11,7,1
2010,11,7.5,0
2011,0,5,7
2011,0,5.5,0
2011,0,6,0
2011,0,6.5,0
2011,0,7,1
2011,0,7.5,0
2011,1,5,1
2011,1,5.5,1
2011,1,6,1
2011,1,6.5,1
2011,1,7,0
2011,1,7.5,0
2011,2,5,5
2011,2,5.5,2
2011,2,6,0
2011,2,6.5,1
2011,2,7,0
2011,2,7.5,0
2011,3,5,6
2011,3,5.5,0
2011,3,6,0
2011,3,6.5,0
2011,3,7,0
2011,3,7.5,0
2011,4,5,3
2011,4,5.5,0
2011,4,6,0
2011,4,6.5,0
2011,4,7,0
2011,4,7.5,0
2011,5,5,9
2011,5,5.5,1
2011,5,6,0
2011,5,6.5,0
2011,5,7,0
2011,5,7.5,0
2011,6,5,5
2011,6,5.5,0
2011,6,6,0
2011,6,6.5,0
2011,6,7,0
2011,6,7.5,0
2011,7,5,6
2011,7,5.5,3
2011,7,6,0
2011,7,6.5,0
2011,7,7,0
2011,7,7.5,0
2011,8,5,6
2011,8,5.5,0
2011,8,6,0
