year,month,key,count
2010,3,5.50,20
2010,2,5.50,38
2010,1,5.50,52
2010,0,5.50,46
2014,9,6.50,1
2014,10,6.50,4
2014,11,6.50,3
2014,5,6.50,6
2013,10,7.50,8205
2014,6,6.50,5
2013,11,7.50,8488
2014,7,6.50,2
2014,8,6.50,1
2014,1,6.50,4
2013,6,7.50,7157
2014,2,6.50,3
2013,7,7.50,8149
2014,3,6.50,8
2013,8,7.50,7696
2014,4,6.50,5
2013,9,7.50,7996
2013,2,7.50,8207
2013,3,7.50,7596
2013,4,7.50,8281
2014,0,6.50,1
2013,5,7.50,7147
2013,0,7.50,981
2013,1,7.50,5716
2010,0,7.00,2
2010,7,5.50,26
2010,6,5.50,31
2010,5,5.50,25
2010,4,5.50,20
2010,11,5.50,36
2010,10,5.50,28
2010,9,5.50,30
2010,8,5.50,33
2012,10,5.00,89
2012,9,5.00,91
2012,8,5.00,111
2012,7,5.00,95
2012,11,5.00,90
2012,2,5.00,96
2011,8,6.00,8
2012,1,5.00,153
2011,9,6.00,6
2012,0,5.00,142
2011,10,6.00,10
2011,11,6.00,5
2012,6,5.00,83
2011,4,6.00,4
2010,9,7.00,0
2012,5,5.00,73
2011,5,6.00,8
2010,10,7.00,0
2012,4,5.00,73
2011,6,6.00,15
2010,11,7.00,2
2012,3,5.00,127
2011,7,6.00,8
2011,0,6.00,9
2010,5,7.00,1
2011,1,6.00,8
2010,6,7.00,2
2011,2,6.00,60
2010,7,7.00,3
2011,3,6.00,8
2010,8,7.00,2
2010,1,7.00,2
2010,2,7.00,1
2010,3,7.00,1
2010,4,7.00,2
2010,1,6.50,1
2010,2,6.50,8
2010,3,6.50,4
2010,4,6.50,4
2010,0,6.50,4
2014,10,7.50,10356
2014,11,7.50,7725
2014,6,7.50,10444
2014,7,7.50,9566
2014,8,7.50,10848
2014,9,7.50,9392
2014,2,7.50,9133
2014,3,7.50,9671
2014,4,7.50,9320
2014,5,7.50,9942
2014,0,7.50,8915
2014,1,7.50,8485
2011,11,5.50,20
2011,10,5.50,29
2011,9,5.50,29
2011,8,5.50,24
2011,3,5.50,36
2010,9,6.50,1
2011,2,5.50,156
2010,10,6.50,2
2011,1,5.50,28
2010,11,6.50,2
2011,0,5.50,28
2011,7,5.50,34
2010,5,6.50,2
2011,6,5.50,39
2010,6,6.50,5
2011,5,5.50,32
2010,7,6.50,3
2011,4,5.50,43
2010,8,6.50,1
2013,11,5.00,85
2013,6,5.00,78
2013,5,5.00,59
2013,4,5.00,92
2013,3,5.00,99
2013,10,5.00,100
2012,8,6.00,6
2013,9,5.00,103
2012,9,6.00,6
2013,8,5.00,78
2012,10,6.00,8
2013,7,5.00,79
2012,11,6.00,8
2012,4,6.00,8
2011,9,7.00,2
2012,5,6.00,11
2011,10,7.00,0
2012,6,6.00,6
2011,11,7.00,1
2012,7,6.00,8
2013,2,5.00,70
2012,0,6.00,7
2011,5,7.00,1
2013,1,5.00,178
2012,1,6.00,6
2011,6,7.00,1
2013,0,5.00,82
2012,2,6.00,7
2011,7,7.00,3
2012,3,6.00,11
2011,8,7.00,2
2011,1,7.00,0
2011,2,7.00,1
2011,3,7.00,1
2011,4,7.00,0
2011,0,7.00,4
2010,2,7.50,1750
2010,3,7.50,3366
2010,4,7.50,1262
2011,0,6.50,1
2010,5,7.50,1284
2010,0,7.50,1174
2010,1,7.50,1324
2012,7,5.50,26
2012,6,5.50,26
2012,5,5.50,26
2012,4,5.50,24
2012,11,5.50,20
2011,9,6.50,2
2012,10,5.50,29
2011,10,6.50,2
2012,9,5.50,30
2011,11,6.50,2
2012,8,5.50,23
2011,5,6.50,1
2010,10,7.50,1483
2011,6,6.50,2
2010,11,7.50,1914
2011,7,6.50,2
2011,8,6.50,5
2012,3,5.50,39
2011,1,6.50,5
2010,6,7.50,2564
2012,2,5.50,20
2011,2,6.50,10
2010,7,7.50,1697
2012,1,5.50,29
2011,3,6.50,5
2010,8,7.50,1375
2012,0,5.50,21
2011,4,6.50,1
2010,9,7.50,1389
2014,10,5.00,113
2014,9,5.00,97
2014,8,5.00,100
2014,7,5.00,86
2014,11,5.00,120
2014,2,5.00,107
2013,8,6.00,9
2014,1,5.00,79
2013,9,6.00,8
2014,0,5.00,88
2013,10,6.00,8
2013,11,6.00,4
2014,6,5.00,83
2013,4,6.00,8
2012,9,7.00,0
2014,5,5.00,109
2013,5,6.00,5
2012,10,7.00,1
2014,4,5.00,90
2013,6,6.00,8
2012,11,7.00,2
2014,3,5.00,178
2013,7,6.00,8
2013,0,6.00,5
2012,5,7.00,0
2013,1,6.00,12
2012,6,7.00,0
2013,2,6.00,3
2012,7,7.00,1
2013,3,6.00,10
2012,8,7.00,1
2012,1,7.00,1
2012,2,7.00,2
2012,3,7.00,1
2012,4,7.00,0
2012,0,7.00,1
2011,0,7.50,1467
2011,1,7.50,1241
2013,11,5.50,26
2013,10,5.50,31
2013,9,5.50,16
2013,8,5.50,23
2013,3,5.50,25
2012,9,6.50,3
2013,2,5.50,19
2012,10,6.50,3
2013,1,5.50,55
2012,11,6.50,1
2013,0,5.50,17
2013,7,5.50,22
2012,5,6.50,0
2011,10,7.50,1457
2013,6,5.50,20
2012,6,6.50,2
2011,11,7.50,1220
2013,5,5.50,19
2012,7,6.50,2
2013,4,5.50,28
2012,8,6.50,0
2012,1,6.50,2
2011,6,7.50,1720
2012,2,6.50,4
2011,7,7.50,1529
2012,3,6.50,5
2011,8,7.50,1424
2012,4,6.50,1
2011,9,7.50,1399
2011,2,7.50,3474
2011,3,7.50,1777
2011,4,7.50,1653
2012,0,6.50,2
2011,5,7.50,1459
2014,8,6.00,7
2014,9,6.00,5
2014,10,6.00,6
2014,11,6.00,7
2014,4,6.00,13
2013,9,7.00,2
2014,5,6.00,9
2013,10,7.00,1
2014,6,6.00,13
2013,11,7.00,0
2014,7,6.00,7
2014,0,6.00,5
2013,5,7.00,0
2014,1,6.00,4
2013,6,7.00,2
2014,2,6.00,14
2013,7,7.00,1
2014,3,6.00,11
2013,8,7.00,1
2013,1,7.00,3
2013,2,7.00,0
2013,3,7.00,2
2013,4,7.00,1
2013,0,7.00,0
2010,10,5.00,137
2010,9,5.00,129
2010,8,5.00,130
2010,7,5.00,147
2010,11,5.00,228
2010,2,5.00,224
2010,1,5.00,227
2010,0,5.00,146
2010,6,5.00,138
2010,5,5.00,100
2010,4,5.00,105
2010,3,5.00,114
2014,7,5.50,25
2014,6,5.50,24
2014,5,5.50,28
2014,4,5.50,38
2014,11,5.50,25
2013,9,6.50,6
2014,10,5.50,24
2013,10,6.50,2
2014,9,5.50,25
2013,11,6.50,0
2014,8,5.50,23
2013,5,6.50,3
2012,10,7.50,1459
2013,6,6.50,2
2012,11,7.50,1405
2013,7,6.50,2
2013,8,6.50,5
2014,3,5.50,42
2013,1,6.50,7
2012,6,7.50,1266
2014,2,5.50,33
2013,2,6.50,2
2012,7,7.50,1661
2014,1,5.50,22
2013,3,6.50,4
2012,8,7.50,2004
2014,0,5.50,18
2013,4,6.50,2
2012,9,7.50,1575
2012,2,7.50,1460
2012,3,7.50,1714
2012,4,7.50,1387
2013,0,6.50,1
2012,5,7.50,1252
2012,0,7.50,1295
2012,1,7.50,1316
2014,9,7.00,2
2014,10,7.00,2
2014,11,7.00,0
2014,5,7.00,0
2014,6,7.00,0
2014,7,7.00,0
2014,8,7.00,0
2014,1,7.00,0
2014,2,7.00,0
2014,3,7.00,3
2014,4,7.00,0
2014,0,7.00,0
2011,11,5.00,92
2011,6,5.00,167
2011,5,5.00,128
2011,4,5.00,135
2011,3,5.00,123
2011,10,5.00,104
2010,8,6.00,7
2011,9,5.00,93
2010,9,6.00,6
2011,8,5.00,97
2010,10,6.00,4
2011,7,5.00,115
2010,11,6.00,9
2010,4,6.00,10
2010,5,6.00,8
2010,6,6.00,9
2010,7,6.00,11
2011,2,5.00,472
2010,0,6.00,5
2011,1,5.00,116
2010,1,6.00,19
2011,0,5.00,159
2010,2,6.00,14
2010,3,6.00,11
