year,month,key,count
2011,6,more than $100.000.000,21
2011,5,more than $100.000.000,13
2011,4,more than $100.000.000,20
2011,3,more than $100.000.000,19
2011,2,more than $100.000.000,84
2011,1,more than $100.000.000,14
2011,0,more than $100.000.000,25
2011,11,more than $100.000.000,17
2011,10,more than $100.000.000,17
2011,9,more than $100.000.000,14
2011,8,more than $100.000.000,14
2011,7,more than $100.000.000,15
2013,3,more than $1.000.000.000,3
2013,4,more than $1.000.000.000,0
2013,1,more than $1.000.000.000,6
2013,2,more than $1.000.000.000,1
2012,11,less than $100K,1194
2014,1,more than $1.000.000,126
2012,10,less than $100K,1256
2014,2,more than $1.000.000,169
2013,0,more than $1.000.000.000,1
2014,0,more than $1.000.000,141
2012,10,more than $10.000.000.000,0
2012,9,more than $10.000.000.000,0
2014,11,more than $1.000.000,89
2012,8,more than $10.000.000.000,0
2012,7,more than $10.000.000.000,0
2012,6,more than $10.000.000.000,0
2012,5,more than $10.000.000.000,0
2012,4,more than $10.000.000.000,0
2012,3,more than $10.000.000.000,3
2014,5,more than $1.000.000,185
2012,2,more than $10.000.000.000,0
2014,6,more than $1.000.000,191
2012,1,more than $10.000.000.000,0
2014,3,more than $1.000.000,261
2012,0,more than $10.000.000.000,0
2014,4,more than $1.000.000,173
2014,9,more than $1.000.000,156
2014,10,more than $1.000.000,192
2014,7,more than $1.000.000,167
2014,8,more than $1.000.000,154
2013,11,more than $100.000,237
2013,10,more than $100.000,265
2013,9,more than $100.000,221
2012,11,more than $10.000.000.000,0
2011,11,more than $10.000.000.000,1
2011,10,more than $10.000.000.000,0
2011,9,more than $10.000.000.000,1
2011,8,more than $10.000.000.000,0
2011,7,more than $10.000.000.000,0
2013,9,more than $1.000.000,137
2011,6,more than $10.000.000.000,0
2013,10,more than $1.000.000,165
2011,5,more than $10.000.000.000,0
2013,7,more than $1.000.000,130
2011,4,more than $10.000.000.000,0
2013,8,more than $1.000.000,121
2011,3,more than $10.000.000.000,0
2011,2,more than $10.000.000.000,1
2011,1,more than $10.000.000.000,0
2013,11,more than $1.000.000,147
2011,0,more than $10.000.000.000,1
2014,8,more than $100.000,246
2014,7,more than $100.000,258
2014,6,more than $100.000,287
2014,5,more than $100.000,333
2014,11,more than $100.000,119
2014,10,more than $100.000,295
2014,9,more than $100.000,223
2010,10,more than $100.000.000,22
2010,9,more than $100.000.000,17
2012,1,less than $100K,1111
2010,8,more than $100.000.000,22
2012,0,less than $100K,1131
2010,7,more than $100.000.000,15
2010,6,more than $100.000.000,25
2010,5,more than $100.000.000,14
2010,4,more than $100.000.000,9
2010,3,more than $100.000.000,20
2012,7,less than $100K,1428
2014,0,more than $100.000,260
2013,11,more than $1.000.000.000,1
2012,6,less than $100K,1103
2012,9,less than $100K,1336
2013,9,more than $1.000.000.000,1
2012,8,less than $100K,1727
2013,10,more than $1.000.000.000,2
2012,3,less than $100K,1419
2014,4,more than $100.000,292
2013,7,more than $1.000.000.000,1
2012,2,less than $100K,1227
2014,3,more than $100.000,404
2013,8,more than $1.000.000.000,2
2012,5,less than $100K,1046
2014,2,more than $100.000,261
2013,5,more than $1.000.000.000,1
2012,4,less than $100K,1132
2014,1,more than $100.000,221
2010,11,more than $100.000.000,29
2013,6,more than $1.000.000.000,4
2010,2,more than $100.000.000,32
2010,1,more than $100.000.000,31
2010,0,more than $100.000.000,19
2014,11,more than $1.000.000.000,1
2014,9,more than $1.000.000.000,1
2014,10,more than $1.000.000.000,1
2014,7,more than $1.000.000.000,0
2014,8,more than $1.000.000.000,0
2014,5,more than $1.000.000.000,2
2014,6,more than $1.000.000.000,2
2014,3,more than $1.000.000.000,3
2014,4,more than $1.000.000.000,2
2014,1,more than $1.000.000.000,2
2014,2,more than $1.000.000.000,2
2012,11,more than $100.000.000,16
2012,0,more than $100.000,200
2012,2,more than $100.000.000,21
2012,1,more than $100.000.000,28
2012,0,more than $100.000.000,19
2012,4,more than $100.000,209
2012,3,more than $100.000,283
2012,2,more than $100.000,227
2012,1,more than $100.000,231
2012,8,more than $100.000,255
2012,10,more than $100.000.000,15
2012,7,more than $100.000,214
2012,9,more than $100.000.000,14
2014,1,less than $100K,8232
2012,6,more than $100.000,152
2012,8,more than $100.000.000,17
2014,0,less than $100K,8615
2012,5,more than $100.000,188
2012,7,more than $100.000.000,20
2012,6,more than $100.000.000,10
2012,11,more than $100.000,196
